Timestamp,Qual sua faixa etária?,Qual Estado reside?,Qual gênero você se identifica?,Qual seu estado civil?,Qual maior grau de escolaridade alcançado até então?,Qual sua renda mensal aproximadamente?,Com que frequência costumava ir à bares?,Com que frequência costuma ir à distribuidoras de bebidas?,"Com que frequência costuma comprar bebidas online (aplicativos de entrega, lojas virtuais etc)?",Você costuma comprar bebidas junto à compras de rotina no supermercado?,Qual a distância média que percorre até o local onde costuma comprar suas bebidas?,Quais aparelhos/dispositivos abaixo você possui (conectados à internet)?,Você gostaria de responder mais algumas poucas questões específicas sobre suas experiências com serviço e atendimento em bares?,Qual a média de pessoas que divide a mesa com você em bares?,Você costuma interagir com desconhecidos e se relacionar com novas pessoas em bares?,Você costuma ter problemas ao dividir a conta em bares e restaurantes?,"Você já vivenciou situações de negligência, racismo, homofobia, preconceito ou algum tipo de exclusão no atendimento em bares?",Você gostaria de receber uma bebida como presente?,Você gostaria de presentear alguém com uma bebida?,Quais dos fatores abaixo você acha mais importante na hora de escolher um bar? [Atendimento],Quais dos fatores abaixo você acha mais importante na hora de escolher um bar? [Localização],Quais dos fatores abaixo você acha mais importante na hora de escolher um bar? [Preço / Promoções],Quais dos fatores abaixo você acha mais importante na hora de escolher um bar? [Decoração / Layout / Conforto],Quais dos fatores abaixo você acha mais importante na hora de escolher um bar? [Música ao vivo],Outras observações?,Com que frequência você utiliza de video-chamadas ou teleconferências para falar com seus amigos e familiares?,"Quantas transmissões ao vivo de apresentações artísticas (""lives"") você costuma assistir por semana?",Unnamed: 28,bebida,musica
6/28/2020 18:34:56,25 à 34,Goiás (GO),Masculino,Casado(a),Até Ensino Médio Completo,"De 3 a 6 salários mínimos (de R$ R$ 3.135,00 a R$ 6.270,00)",Pelo menos uma vez a cada 15 dias,Pelo menos uma vez na semana,Menos de uma vez por ano,"Sim, na maioria das situações",De 101 metros a 1 quilômetro,"Smartphone, Smart TV, Videojogo / Consoles","Sim, me leve à próxima sessão da pesquisa.",De duas a quatro pessoas,"Sim, na maioria das situações","Não, em situação alguma","Sim, em poucas situações","Sim, em todas as situações","Sim, na maioria das situações",5 (muito importante ou essencial),4,1 (pouco ou nada importante),2,3,Não,A cada três meses,De duas a quatro apresentações,Declaro que li os detalhes descritos neste documento e que todas as informações prestadas são verdadeiras. Eu concordo que os dados coletados para o estudo sejam usados para os propósitos acima descritos.,Cerveja Skol,Sertanejo
6/28/2020 18:39:45,25 à 34,Goiás (GO),Masculino,Solteiro(a),Até Ensino Superior Completo,"De 1 a 3 salários mínimos (de R$ R$ 1.045,01 a R$ 3.135,00)",Pelo menos uma vez a cada 15 dias,Pelo menos uma vez a cada 15 dias,Menos de uma vez por ano,"Sim, em poucas situações",Menos de 100 metros,"Smartphone, Smart TV, Computador / Laptop / Notebook","Não, gostaria de encerrar a pesquisa agora.",,,,,,,,,,,,,,,Declaro que li os detalhes descritos neste documento e que todas as informações prestadas são verdadeiras. Eu concordo que os dados coletados para o estudo sejam usados para os propósitos acima descritos.,Cerveja Skol,Indie
6/28/2020 18:53:49,25 à 34,Pará (PA),Masculino,Solteiro(a),Especialização ou maior,"De 6 a 9 salários mínimos (de R$ 6.270,01 a R$ 9.405,00)",Pelo menos uma vez na semana,Pelo menos uma vez na semana,Menos de uma vez por ano,"Sim, na maioria das situações",De 1 a 5 quilômetros,"Smartphone, Smart TV, Computador / Laptop / Notebook","Sim, me leve à próxima sessão da pesquisa.",De duas a quatro pessoas,"Sim, em poucas situações","Não, em situação alguma","Não, em situação alguma","Sim, em todas as situações","Sim, na maioria das situações",5 (muito importante ou essencial),2,3,1 (pouco ou nada importante),4,,Menos de uma vez por ano,Uma ou menos,Declaro que li os detalhes descritos neste documento e que todas as informações prestadas são verdadeiras. Eu concordo que os dados coletados para o estudo sejam usados para os propósitos acima descritos.,Guaraná Artarctica,Eletrônica
6/28/2020 19:02:01,35 à 49,Paraná (PR),Masculino,Casado(a),Especialização ou maior,"Mais de 12 salários mínimos ( mais de R$ 12.540,01)",A cada seis meses ou um ano,Menos de uma vez por ano,Menos de uma vez por ano,"Sim, em poucas situações",De 101 metros a 1 quilômetro,"Smartphone, Smart TV, Computador / Laptop / Notebook","Sim, me leve à próxima sessão da pesquisa.",De duas a quatro pessoas,"Sim, em poucas situações","Não, em situação alguma","Não, em situação alguma","Sim, na maioria das situações","Sim, na maioria das situações",4,3,5 (muito importante ou essencial),2,1 (pouco ou nada importante),,Pelo menos uma vez na semana,Uma ou menos,Declaro que li os detalhes descritos neste documento e que todas as informações prestadas são verdadeiras. Eu concordo que os dados coletados para o estudo sejam usados para os propósitos acima descritos.,Cerveja Skol,Anos 80
6/28/2020 19:05:42,35 à 49,Paraná (PR),Masculino,Solteiro(a),Especialização ou maior,"De 1 a 3 salários mínimos (de R$ R$ 1.045,01 a R$ 3.135,00)",A cada seis meses ou um ano,Menos de uma vez por ano,Menos de uma vez por ano,"Sim, em todas as situações",De 1 a 5 quilômetros,"Smartwatch, Smartphone, Tablet / iPad, Smart TV, Computador / Laptop / Notebook, Videojogo / Consoles","Sim, me leve à próxima sessão da pesquisa.",De duas a quatro pessoas,"Sim, na maioria das situações","Sim, em poucas situações","Sim, em poucas situações","Sim, em todas as situações","Sim, em todas as situações",2,5 (muito importante ou essencial),3,4,1 (pouco ou nada importante),,Pelo menos uma vez no mês,Uma ou menos,Declaro que li os detalhes descritos neste documento e que todas as informações prestadas são verdadeiras. Eu concordo que os dados coletados para o estudo sejam usados para os propósitos acima descritos.,Pepsi,Blues
6/28/2020 19:09:50,50 ou mais,São Paulo (SP),Feminino,Casado(a),Especialização ou maior,"De 6 a 9 salários mínimos (de R$ 6.270,01 a R$ 9.405,00)",Menos de uma vez por ano,Menos de uma vez por ano,Menos de uma vez por ano,"Sim, em poucas situações",De 101 metros a 1 quilômetro,"Smartphone, Tablet / iPad, Computador / Laptop / Notebook","Não, gostaria de encerrar a pesquisa agora.",,,,,,,,,,,,,,,Declaro que li os detalhes descritos neste documento e que todas as informações prestadas são verdadeiras. Eu concordo que os dados coletados para o estudo sejam usados para os propósitos acima descritos.,Brahma,Rock
6/28/2020 19:11:00,25 à 34,Fora do Brasil (XX),Masculino,Solteiro(a),Até Ensino Médio Completo,"De 1 a 3 salários mínimos (de R$ R$ 1.045,01 a R$ 3.135,00)",Menos de uma vez por ano,Menos de uma vez por ano,Menos de uma vez por ano,"Sim, em poucas situações",De 1 a 5 quilômetros,"Smartphone, Smart TV, Computador / Laptop / Notebook","Sim, me leve à próxima sessão da pesquisa.",De duas a quatro pessoas,"Sim, na maioria das situações","Não, em situação alguma","Sim, em poucas situações","Sim, em poucas situações","Sim, em poucas situações",4,2,3,5 (muito importante ou essencial),1 (pouco ou nada importante),,Pelo menos uma vez na semana,Uma ou menos,Declaro que li os detalhes descritos neste documento e que todas as informações prestadas são verdadeiras. Eu concordo que os dados coletados para o estudo sejam usados para os propósitos acima descritos.,Skol Beats,Funk
6/28/2020 19:18:37,18 a 24,Paraná (PR),Masculino,Solteiro(a),Especialização ou maior,"Até um salário mínimo (até R$ R$ 1.045,00)",Pelo menos uma vez na semana,Pelo menos uma vez na semana,Pelo menos uma vez na semana,"Sim, na maioria das situações",Menos de 100 metros,"Smartphone, Smart TV, Computador / Laptop / Notebook","Sim, me leve à próxima sessão da pesquisa.",De duas a quatro pessoas,"Sim, na maioria das situações","Sim, em poucas situações","Sim, em poucas situações","Sim, em todas as situações","Sim, em todas as situações",2,4,5 (muito importante ou essencial),3,1 (pouco ou nada importante),,Pelo menos uma vez na semana,De duas a quatro apresentações,Declaro que li os detalhes descritos neste documento e que todas as informações prestadas são verdadeiras. Eu concordo que os dados coletados para o estudo sejam usados para os propósitos acima descritos.,Guaraná Artarctica,Pagode
6/28/2020 19:21:30,18 a 24,Paraná (PR),Feminino,Solteiro(a),Até Ensino Médio Completo,"Até um salário mínimo (até R$ R$ 1.045,00)",Pelo menos uma vez na semana,Pelo menos uma vez na semana,Pelo menos uma vez na semana,"Não, em nenhuma situação",De 1 a 5 quilômetros,"Smartphone, Smart TV, Computador / Laptop / Notebook","Não, gostaria de encerrar a pesquisa agora.",,,,,,,,,,,,,,,Declaro que li os detalhes descritos neste documento e que todas as informações prestadas são verdadeiras. Eu concordo que os dados coletados para o estudo sejam usados para os propósitos acima descritos.,Guaraná Artarctica,Funk
6/28/2020 20:03:01,25 à 34,Goiás (GO),Masculino,Separado(a),Até Ensino Superior Completo,"De 1 a 3 salários mínimos (de R$ R$ 1.045,01 a R$ 3.135,00)",Pelo menos uma vez no mês,Pelo menos uma vez no mês,Menos de uma vez por ano,"Sim, na maioria das situações",Menos de 100 metros,"Smartwatch, Computador / Laptop / Notebook","Sim, me leve à próxima sessão da pesquisa.",De duas a quatro pessoas,"Sim, em poucas situações","Não, em situação alguma","Sim, na maioria das situações","Sim, em poucas situações","Sim, em poucas situações",Música ao vivo,Atendimento,Localização,Decoração / Layout / Conforto,Preço / Promoções,,Pelo menos uma vez na semana,Uma ou menos,Declaro que li os detalhes descritos neste documento e que todas as informações prestadas são verdadeiras. Eu concordo que os dados coletados para o estudo sejam usados para os propósitos acima descritos.,Pepsi,Anos 80
